"fecha_hora","date","hour","O3","PM10","MAX_DIA_O3","MAX_DIA_PM10","RH","TMP","WDR","WSP","MAX_DIA_RH","MAX_DIA_TMP","MAX_DIA_WDR","MAX_DIA_WSP"
2015-01-01 10:00:00,2015-01-01,10,11,127,49,128,NA,NA,104,1.4,NA,NA,349,3.3
2015-01-01 11:00:00,2015-01-01,11,33,128,49,128,NA,NA,65,1.6,NA,NA,349,3.3
2015-01-01 06:00:00,2015-01-01,6,4,125,49,128,NA,NA,153,1.3,NA,NA,349,3.3
2015-01-01 07:00:00,2015-01-01,7,4,127,49,128,NA,NA,120,0.7,NA,NA,349,3.3
2015-01-01 08:00:00,2015-01-01,8,4,127,49,128,NA,NA,294,1.3,NA,NA,349,3.3
2015-01-01 09:00:00,2015-01-01,9,4,127,49,128,NA,NA,110,0.7,NA,NA,349,3.3
2015-01-02 10:00:00,2015-01-02,10,9,81,28,111,NA,NA,69,1.3,NA,NA,333,5.4
2015-01-02 11:00:00,2015-01-02,11,14,71,28,111,NA,NA,57,1.8,NA,NA,333,5.4
2015-01-02 06:00:00,2015-01-02,6,2,104,28,111,NA,NA,261,0.5,NA,NA,333,5.4
2015-01-02 07:00:00,2015-01-02,7,2,102,28,111,NA,NA,216,0.5,NA,NA,333,5.4
2015-01-02 08:00:00,2015-01-02,8,2,97,28,111,NA,NA,300,0.5,NA,NA,333,5.4
2015-01-02 09:00:00,2015-01-02,9,4,90,28,111,NA,NA,66,1.1,NA,NA,333,5.4
2015-01-05 10:00:00,2015-01-05,10,6,49,19,63,NA,NA,322,2.5,NA,NA,334,4
2015-01-05 11:00:00,2015-01-05,11,13,48,19,63,NA,NA,318,2.5,NA,NA,334,4
2015-01-05 06:00:00,2015-01-05,6,11,52,19,63,NA,NA,321,2.7,NA,NA,334,4
2015-01-05 07:00:00,2015-01-05,7,8,52,19,63,NA,NA,327,2.4,NA,NA,334,4
2015-01-05 08:00:00,2015-01-05,8,4,51,19,63,NA,NA,329,2.1,NA,NA,334,4
2015-01-05 09:00:00,2015-01-05,9,4,51,19,63,NA,NA,322,2.5,NA,NA,334,4
2015-01-06 10:00:00,2015-01-06,10,5,68,30,81,NA,NA,45,1.3,NA,NA,356,3.4
2015-01-06 11:00:00,2015-01-06,11,7,73,30,81,NA,NA,347,1.9,NA,NA,356,3.4
2015-01-06 06:00:00,2015-01-06,6,2,58,30,81,NA,NA,194,0.8,NA,NA,356,3.4
2015-01-06 07:00:00,2015-01-06,7,2,60,30,81,NA,NA,74,0.6,NA,NA,356,3.4
2015-01-06 08:00:00,2015-01-06,8,2,61,30,81,NA,NA,4,0.8,NA,NA,356,3.4
2015-01-06 09:00:00,2015-01-06,9,3,64,30,81,NA,NA,36,1.4,NA,NA,356,3.4
2015-01-07 10:00:00,2015-01-07,10,6,55,33,70,NA,NA,332,2.6,NA,NA,350,3.8
2015-01-07 11:00:00,2015-01-07,11,10,51,33,70,NA,NA,333,3,NA,NA,350,3.8
2015-01-07 06:00:00,2015-01-07,6,4,65,33,70,NA,NA,314,1.7,NA,NA,350,3.8
2015-01-07 07:00:00,2015-01-07,7,2,64,33,70,NA,NA,317,2.2,NA,NA,350,3.8
2015-01-07 08:00:00,2015-01-07,8,2,61,33,70,NA,NA,312,2.2,NA,NA,350,3.8
2015-01-07 09:00:00,2015-01-07,9,4,60,33,70,NA,NA,318,2.5,NA,NA,350,3.8
2015-01-08 10:00:00,2015-01-08,10,11,25,28,44,NA,NA,324,3,NA,NA,352,3.4
2015-01-08 11:00:00,2015-01-08,11,14,24,28,44,NA,NA,323,2.9,NA,NA,352,3.4
2015-01-08 06:00:00,2015-01-08,6,18,44,28,44,NA,NA,325,3.3,NA,NA,352,3.4
2015-01-08 07:00:00,2015-01-08,7,7,26,28,44,NA,NA,318,3.2,NA,NA,352,3.4
2015-01-08 08:00:00,2015-01-08,8,7,26,28,44,NA,NA,331,3.2,NA,NA,352,3.4
2015-01-08 09:00:00,2015-01-08,9,13,25,28,44,NA,NA,328,2.8,NA,NA,352,3.4
2015-01-09 10:00:00,2015-01-09,10,6,70,43,97,NA,NA,59,1.2,NA,NA,348,3.7
2015-01-09 11:00:00,2015-01-09,11,10,74,43,97,NA,NA,44,1.2,NA,NA,348,3.7
2015-01-09 06:00:00,2015-01-09,6,2,61,43,97,NA,NA,133,0.5,NA,NA,348,3.7
2015-01-09 07:00:00,2015-01-09,7,2,63,43,97,NA,NA,147,1,NA,NA,348,3.7
2015-01-09 08:00:00,2015-01-09,8,2,63,43,97,NA,NA,316,0.8,NA,NA,348,3.7
2015-01-09 09:00:00,2015-01-09,9,4,67,43,97,NA,NA,348,0.8,NA,NA,348,3.7
2015-01-12 10:00:00,2015-01-12,10,9,83,118,99,NA,NA,63,1.4,NA,NA,334,2
2015-01-12 11:00:00,2015-01-12,11,16,84,118,99,NA,NA,58,1.4,NA,NA,334,2
2015-01-12 06:00:00,2015-01-12,6,3,73,118,99,NA,NA,186,0.5,NA,NA,334,2
2015-01-12 07:00:00,2015-01-12,7,2,74,118,99,NA,NA,171,0.4,NA,NA,334,2
2015-01-12 08:00:00,2015-01-12,8,3,77,118,99,NA,NA,92,0.4,NA,NA,334,2
2015-01-12 09:00:00,2015-01-12,9,4,81,118,99,NA,NA,48,1.1,NA,NA,334,2
2015-01-13 10:00:00,2015-01-13,10,13,103,122,106,NA,NA,53,1.1,NA,NA,314,2.2
2015-01-13 11:00:00,2015-01-13,11,20,103,122,106,NA,NA,74,1.6,NA,NA,314,2.2
2015-01-13 06:00:00,2015-01-13,6,2,104,122,106,NA,NA,108,0.6,NA,NA,314,2.2
2015-01-13 07:00:00,2015-01-13,7,2,104,122,106,NA,NA,173,1.1,NA,NA,314,2.2
2015-01-13 08:00:00,2015-01-13,8,2,104,122,106,NA,NA,157,1.2,NA,NA,314,2.2
2015-01-13 09:00:00,2015-01-13,9,5,103,122,106,NA,NA,150,0.8,NA,NA,314,2.2
2015-01-14 10:00:00,2015-01-14,10,8,103,111,106,NA,NA,88,1.7,NA,NA,332,2.6
2015-01-14 11:00:00,2015-01-14,11,17,103,111,106,NA,NA,108,1.8,NA,NA,332,2.6
2015-01-14 06:00:00,2015-01-14,6,2,103,111,106,NA,NA,136,1.1,NA,NA,332,2.6
2015-01-14 07:00:00,2015-01-14,7,2,103,111,106,NA,NA,332,0.8,NA,NA,332,2.6
2015-01-14 08:00:00,2015-01-14,8,2,103,111,106,NA,NA,309,1.2,NA,NA,332,2.6
2015-01-14 09:00:00,2015-01-14,9,4,103,111,106,NA,NA,5,1.2,NA,NA,332,2.6
2015-01-15 10:00:00,2015-01-15,10,6,99,112,101,NA,NA,71,1.3,NA,NA,342,2.3
2015-01-15 11:00:00,2015-01-15,11,16,99,112,101,NA,NA,74,1.4,NA,NA,342,2.3
2015-01-15 06:00:00,2015-01-15,6,2,96,112,101,NA,NA,190,1.5,NA,NA,342,2.3
2015-01-15 07:00:00,2015-01-15,7,3,96,112,101,NA,NA,205,0.7,NA,NA,342,2.3
2015-01-15 08:00:00,2015-01-15,8,2,97,112,101,NA,NA,290,0.4,NA,NA,342,2.3
2015-01-15 09:00:00,2015-01-15,9,3,99,112,101,NA,NA,30,0.8,NA,NA,342,2.3
2015-01-16 10:00:00,2015-01-16,10,12,100,100,102,NA,NA,61,1.1,NA,NA,320,3
2015-01-16 11:00:00,2015-01-16,11,22,99,100,102,NA,NA,56,1.6,NA,NA,320,3
2015-01-16 06:00:00,2015-01-16,6,2,101,100,102,NA,NA,165,1.3,NA,NA,320,3
2015-01-16 07:00:00,2015-01-16,7,2,101,100,102,NA,NA,169,0.9,NA,NA,320,3
2015-01-16 08:00:00,2015-01-16,8,3,101,100,102,NA,NA,135,0.6,NA,NA,320,3
2015-01-16 09:00:00,2015-01-16,9,4,101,100,102,NA,NA,135,1.2,NA,NA,320,3
2015-01-19 10:00:00,2015-01-19,10,5,74,57,88,NA,NA,34,1.1,NA,NA,347,3.3
2015-01-19 11:00:00,2015-01-19,11,11,76,57,88,NA,NA,68,1.4,NA,NA,347,3.3
2015-01-19 06:00:00,2015-01-19,6,2,73,57,88,NA,NA,44,0.5,NA,NA,347,3.3
2015-01-19 07:00:00,2015-01-19,7,2,73,57,88,NA,NA,105,0.6,NA,NA,347,3.3
2015-01-19 08:00:00,2015-01-19,8,2,71,57,88,NA,NA,151,1.3,NA,NA,347,3.3
2015-01-19 09:00:00,2015-01-19,9,3,71,57,88,NA,NA,115,1,NA,NA,347,3.3
2015-01-20 10:00:00,2015-01-20,10,9,101,116,106,NA,NA,62,1.1,NA,NA,355,2.2
2015-01-20 11:00:00,2015-01-20,11,18,102,116,106,NA,NA,94,1.4,NA,NA,355,2.2
2015-01-20 06:00:00,2015-01-20,6,2,96,116,106,NA,NA,199,1,NA,NA,355,2.2
2015-01-20 07:00:00,2015-01-20,7,2,99,116,106,NA,NA,127,0.4,NA,NA,355,2.2
2015-01-20 08:00:00,2015-01-20,8,3,101,116,106,NA,NA,132,0.5,NA,NA,355,2.2
2015-01-20 09:00:00,2015-01-20,9,3,101,116,106,NA,NA,110,1.1,NA,NA,355,2.2
2015-01-21 10:00:00,2015-01-21,10,9,104,55,106,NA,NA,95,1.5,NA,NA,340,2.8
2015-01-21 11:00:00,2015-01-21,11,24,105,55,106,NA,NA,100,1.7,NA,NA,340,2.8
2015-01-21 06:00:00,2015-01-21,6,4,105,55,106,NA,NA,196,1.4,NA,NA,340,2.8
2015-01-21 07:00:00,2015-01-21,7,3,105,55,106,NA,NA,144,0.7,NA,NA,340,2.8
2015-01-21 08:00:00,2015-01-21,8,2,104,55,106,NA,NA,162,1.2,NA,NA,340,2.8
2015-01-21 09:00:00,2015-01-21,9,4,104,55,106,NA,NA,150,1.4,NA,NA,340,2.8
2015-01-22 10:00:00,2015-01-22,10,15,91,40,96,NA,NA,65,1.6,NA,NA,326,3.6
2015-01-22 11:00:00,2015-01-22,11,27,86,40,96,NA,NA,75,2.1,NA,NA,326,3.6
2015-01-22 06:00:00,2015-01-22,6,2,96,40,96,NA,NA,275,0.9,NA,NA,326,3.6
2015-01-22 07:00:00,2015-01-22,7,2,96,40,96,NA,NA,285,0.7,NA,NA,326,3.6
2015-01-22 08:00:00,2015-01-22,8,2,94,40,96,NA,NA,282,0.8,NA,NA,326,3.6
2015-01-22 09:00:00,2015-01-22,9,5,93,40,96,NA,NA,44,1.1,NA,NA,326,3.6
2015-01-23 10:00:00,2015-01-23,10,6,67,57,77,NA,NA,58,1.3,NA,NA,308,3
2015-01-23 11:00:00,2015-01-23,11,12,68,57,77,NA,NA,53,1.5,NA,NA,308,3
2015-01-23 06:00:00,2015-01-23,6,3,65,57,77,NA,NA,189,1.6,NA,NA,308,3
2015-01-23 07:00:00,2015-01-23,7,2,65,57,77,NA,NA,285,0.8,NA,NA,308,3
2015-01-23 08:00:00,2015-01-23,8,2,65,57,77,NA,NA,235,0.6,NA,NA,308,3
2015-01-23 09:00:00,2015-01-23,9,4,65,57,77,NA,NA,169,1.3,NA,NA,308,3
2015-01-26 10:00:00,2015-01-26,10,8,74,51,87,NA,NA,327,1.5,NA,NA,360,2.8
2015-01-26 11:00:00,2015-01-26,11,18,74,51,87,NA,NA,331,1.6,NA,NA,360,2.8
2015-01-26 06:00:00,2015-01-26,6,9,76,51,87,NA,NA,312,1.7,NA,NA,360,2.8
2015-01-26 07:00:00,2015-01-26,7,5,74,51,87,NA,NA,307,1.4,NA,NA,360,2.8
2015-01-26 08:00:00,2015-01-26,8,3,73,51,87,NA,NA,313,1.1,NA,NA,360,2.8
2015-01-26 09:00:00,2015-01-26,9,4,74,51,87,NA,NA,351,1.1,NA,NA,360,2.8
2015-01-27 10:00:00,2015-01-27,10,7,88,63,99,NA,NA,86,1.5,NA,NA,353,3.4
2015-01-27 11:00:00,2015-01-27,11,18,90,63,99,NA,NA,99,1.4,NA,NA,353,3.4
2015-01-27 06:00:00,2015-01-27,6,2,83,63,99,NA,NA,181,0.6,NA,NA,353,3.4
2015-01-27 07:00:00,2015-01-27,7,2,84,63,99,NA,NA,145,0.7,NA,NA,353,3.4
2015-01-27 08:00:00,2015-01-27,8,2,86,63,99,NA,NA,2,0.7,NA,NA,353,3.4
2015-01-27 09:00:00,2015-01-27,9,4,87,63,99,NA,NA,50,0.8,NA,NA,353,3.4
2015-01-28 10:00:00,2015-01-28,10,7,90,36,91,NA,NA,330,1.9,NA,NA,351,3.6
2015-01-28 11:00:00,2015-01-28,11,14,90,36,91,NA,NA,335,2.2,NA,NA,351,3.6
2015-01-28 06:00:00,2015-01-28,6,2,90,36,91,NA,NA,81,0.3,NA,NA,351,3.6
2015-01-28 07:00:00,2015-01-28,7,2,90,36,91,NA,NA,340,0.5,NA,NA,351,3.6
2015-01-28 08:00:00,2015-01-28,8,3,88,36,91,NA,NA,312,0.8,NA,NA,351,3.6
2015-01-28 09:00:00,2015-01-28,9,4,90,36,91,NA,NA,312,1.2,NA,NA,351,3.6
2015-01-29 10:00:00,2015-01-29,10,8,74,32,80,NA,NA,70,1.3,NA,NA,351,4.1
2015-01-29 11:00:00,2015-01-29,11,16,73,32,80,NA,NA,27,1.4,NA,NA,351,4.1
2015-01-29 06:00:00,2015-01-29,6,2,76,32,80,NA,NA,182,0.6,NA,NA,351,4.1
2015-01-29 07:00:00,2015-01-29,7,2,76,32,80,NA,NA,34,0.6,NA,NA,351,4.1
2015-01-29 08:00:00,2015-01-29,8,2,76,32,80,NA,NA,167,0.4,NA,NA,351,4.1
2015-01-29 09:00:00,2015-01-29,9,4,74,32,80,NA,NA,108,1,NA,NA,351,4.1
2015-01-30 10:00:00,2015-01-30,10,7,67,46,87,NA,NA,330,1.6,NA,NA,344,4
2015-01-30 11:00:00,2015-01-30,11,13,65,46,87,NA,NA,31,1.7,NA,NA,344,4
2015-01-30 06:00:00,2015-01-30,6,2,70,46,87,NA,NA,326,0.8,NA,NA,344,4
2015-01-30 07:00:00,2015-01-30,7,2,70,46,87,NA,NA,335,1.1,NA,NA,344,4
2015-01-30 08:00:00,2015-01-30,8,2,68,46,87,NA,NA,308,1.6,NA,NA,344,4
2015-01-30 09:00:00,2015-01-30,9,4,68,46,87,NA,NA,344,1.4,NA,NA,344,4
2015-02-02 10:00:00,2015-02-02,10,9,48,42,65,NA,NA,2,1.2,NA,NA,355,5
2015-02-02 11:00:00,2015-02-02,11,17,50,42,65,NA,NA,355,1.6,NA,NA,355,5
2015-02-02 06:00:00,2015-02-02,6,2,48,42,65,NA,NA,159,0.8,NA,NA,355,5
2015-02-02 07:00:00,2015-02-02,7,2,48,42,65,NA,NA,159,0.5,NA,NA,355,5
2015-02-02 08:00:00,2015-02-02,8,2,46,42,65,NA,NA,324,0.8,NA,NA,355,5
2015-02-02 09:00:00,2015-02-02,9,4,46,42,65,NA,NA,328,1.6,NA,NA,355,5
2015-02-03 10:00:00,2015-02-03,10,9,55,22,63,NA,NA,24,1.7,NA,NA,351,3.3
2015-02-03 11:00:00,2015-02-03,11,14,52,22,63,NA,NA,44,1.9,NA,NA,351,3.3
2015-02-03 06:00:00,2015-02-03,6,4,60,22,63,NA,NA,11,0.8,NA,NA,351,3.3
2015-02-03 07:00:00,2015-02-03,7,3,58,22,63,NA,NA,189,0.8,NA,NA,351,3.3
2015-02-03 08:00:00,2015-02-03,8,2,58,22,63,NA,NA,133,1,NA,NA,351,3.3
2015-02-03 09:00:00,2015-02-03,9,5,58,22,63,NA,NA,103,1.4,NA,NA,351,3.3
2015-02-04 10:00:00,2015-02-04,10,7,58,49,64,NA,NA,88,1.5,NA,NA,330,2.5
2015-02-04 11:00:00,2015-02-04,11,16,61,49,64,NA,NA,63,1.7,NA,NA,330,2.5
2015-02-04 06:00:00,2015-02-04,6,2,45,49,64,NA,NA,228,0.8,NA,NA,330,2.5
2015-02-04 07:00:00,2015-02-04,7,2,48,49,64,NA,NA,179,0.8,NA,NA,330,2.5
2015-02-04 08:00:00,2015-02-04,8,2,51,49,64,NA,NA,153,1.4,NA,NA,330,2.5
2015-02-04 09:00:00,2015-02-04,9,4,55,49,64,NA,NA,112,1.1,NA,NA,330,2.5
2015-02-05 10:00:00,2015-02-05,10,9,68,59,81,NA,NA,331,1.9,NA,NA,350,4.2
2015-02-05 11:00:00,2015-02-05,11,21,70,59,81,NA,NA,NA,NA,NA,NA,350,4.2
2015-02-05 06:00:00,2015-02-05,6,2,68,59,81,NA,NA,313,0.9,NA,NA,350,4.2
2015-02-05 07:00:00,2015-02-05,7,2,68,59,81,NA,NA,239,0.7,NA,NA,350,4.2
2015-02-05 08:00:00,2015-02-05,8,2,67,59,81,NA,NA,288,0.8,NA,NA,350,4.2
2015-02-05 09:00:00,2015-02-05,9,4,67,59,81,NA,NA,333,1.4,NA,NA,350,4.2
2015-02-06 10:00:00,2015-02-06,10,9,73,73,83,65,10.3,19,1.2,77,19.9,356,3.3
2015-02-06 11:00:00,2015-02-06,11,16,73,73,83,57,12.7,85,1.5,77,19.9,356,3.3
2015-02-06 06:00:00,2015-02-06,6,6,77,73,83,75,7.7,312,1,77,19.9,356,3.3
2015-02-06 07:00:00,2015-02-06,7,2,76,73,83,75,7.6,318,1.1,77,19.9,356,3.3
2015-02-06 08:00:00,2015-02-06,8,2,74,73,83,74,7.7,286,0.7,77,19.9,356,3.3
2015-02-06 09:00:00,2015-02-06,9,5,73,73,83,73,8.3,313,1.2,77,19.9,356,3.3
2015-02-09 10:00:00,2015-02-09,10,9,103,39,103,19,14.1,330,2,52,20.6,358,3
2015-02-09 11:00:00,2015-02-09,11,22,102,39,103,15,15.4,353,2.1,52,20.6,358,3
2015-02-09 06:00:00,2015-02-09,6,2,96,39,103,45,10.1,343,0.5,52,20.6,358,3
2015-02-09 07:00:00,2015-02-09,7,2,102,39,103,50,9.3,201,0.5,52,20.6,358,3
2015-02-09 08:00:00,2015-02-09,8,2,102,39,103,52,9.1,25,0.7,52,20.6,358,3
2015-02-09 09:00:00,2015-02-09,9,4,102,39,103,36,11.1,261,0.8,52,20.6,358,3
2015-02-10 10:00:00,2015-02-10,10,10,68,90,86,42,11.5,108,1.3,59,20.1,330,2.5
2015-02-10 11:00:00,2015-02-10,11,19,70,90,86,32,13.7,79,1.6,59,20.1,330,2.5
2015-02-10 06:00:00,2015-02-10,6,2,83,90,86,57,8.3,60,0.7,59,20.1,330,2.5
2015-02-10 07:00:00,2015-02-10,7,2,70,90,86,59,7.9,92,0.9,59,20.1,330,2.5
2015-02-10 08:00:00,2015-02-10,8,2,70,90,86,59,7.8,154,1.4,59,20.1,330,2.5
2015-02-10 09:00:00,2015-02-10,9,4,68,90,86,52,9.3,137,1.3,59,20.1,330,2.5
2015-02-11 10:00:00,2015-02-11,10,8,100,104,102,39,13.9,50,1.4,75,21.4,353,5.9
2015-02-11 11:00:00,2015-02-11,11,21,101,104,102,34,16.1,68,1.7,75,21.4,353,5.9
2015-02-11 06:00:00,2015-02-11,6,2,94,104,102,45,10.8,178,1.7,75,21.4,353,5.9
2015-02-11 07:00:00,2015-02-11,7,2,97,104,102,47,11.1,193,0.7,75,21.4,353,5.9
2015-02-11 08:00:00,2015-02-11,8,3,97,104,102,47,11.2,150,1,75,21.4,353,5.9
2015-02-11 09:00:00,2015-02-11,9,4,99,104,102,44,12.5,89,1,75,21.4,353,5.9
2015-02-12 10:00:00,2015-02-12,10,16,77,41,97,71,11.5,324,1.3,81,17,335,4.6
2015-02-12 11:00:00,2015-02-12,11,30,71,41,97,55,14.2,62,1.6,81,17,335,4.6
2015-02-12 06:00:00,2015-02-12,6,11,90,41,97,75,10.8,145,3.3,81,17,335,4.6
2015-02-12 07:00:00,2015-02-12,7,8,88,41,97,81,10,138,2.6,81,17,335,4.6
2015-02-12 08:00:00,2015-02-12,8,8,87,41,97,81,9.7,148,2.3,81,17,335,4.6
2015-02-12 09:00:00,2015-02-12,9,9,83,41,97,76,10.4,160,1.5,81,17,335,4.6
2015-02-13 10:00:00,2015-02-13,10,5,48,36,99,75,10.3,321,1.4,87,15.6,345,3.6
2015-02-13 11:00:00,2015-02-13,11,9,50,36,99,70,11.3,16,1.3,87,15.6,345,3.6
2015-02-13 06:00:00,2015-02-13,6,5,43,36,99,85,8.5,276,1.1,87,15.6,345,3.6
2015-02-13 07:00:00,2015-02-13,7,2,43,36,99,84,8.5,309,1.5,87,15.6,345,3.6
2015-02-13 08:00:00,2015-02-13,8,3,44,36,99,84,8.5,313,1.4,87,15.6,345,3.6
2015-02-13 09:00:00,2015-02-13,9,4,45,36,99,80,9.4,333,1.3,87,15.6,345,3.6
2015-02-16 10:00:00,2015-02-16,10,7,68,42,91,62,15.2,111,2.2,73,23.5,286,4.2
2015-02-16 11:00:00,2015-02-16,11,19,68,42,91,55,17,102,2.5,73,23.5,286,4.2
2015-02-16 06:00:00,2015-02-16,6,2,76,42,91,72,11.9,190,0.6,73,23.5,286,4.2
2015-02-16 07:00:00,2015-02-16,7,2,74,42,91,73,11.9,194,1,73,23.5,286,4.2
2015-02-16 08:00:00,2015-02-16,8,2,73,42,91,72,11.8,159,0.8,73,23.5,286,4.2
2015-02-16 09:00:00,2015-02-16,9,4,70,42,91,68,13.5,103,1.9,73,23.5,286,4.2
2015-02-17 10:00:00,2015-02-17,10,10,57,40,70,51,16.2,62,1.5,57,21.3,351,3.3
2015-02-17 11:00:00,2015-02-17,11,19,55,40,70,45,17.7,56,2.5,57,21.3,351,3.3
2015-02-17 06:00:00,2015-02-17,6,2,64,40,70,56,14.2,189,1.1,57,21.3,351,3.3
2015-02-17 07:00:00,2015-02-17,7,2,63,40,70,57,14.2,284,0.7,57,21.3,351,3.3
2015-02-17 08:00:00,2015-02-17,8,2,61,40,70,57,14.4,129,2.1,57,21.3,351,3.3
2015-02-17 09:00:00,2015-02-17,9,4,60,40,70,55,15,145,1.7,57,21.3,351,3.3
2015-02-18 10:00:00,2015-02-18,10,11,61,105,80,52,15.9,58,1.3,69,25.1,344,2.9
2015-02-18 11:00:00,2015-02-18,11,21,60,105,80,47,17.5,62,2,69,25.1,344,2.9
2015-02-18 06:00:00,2015-02-18,6,2,54,105,80,66,12.4,191,0.9,69,25.1,344,2.9
2015-02-18 07:00:00,2015-02-18,7,2,55,105,80,69,12,282,0.8,69,25.1,344,2.9
2015-02-18 08:00:00,2015-02-18,8,3,57,105,80,67,12.2,157,0.7,69,25.1,344,2.9
2015-02-18 09:00:00,2015-02-18,9,4,60,105,80,60,14.2,151,1.3,69,25.1,344,2.9
2015-02-19 10:00:00,2015-02-19,10,10,78,120,83,55,14.5,332,1.6,71,23.5,360,3.9
2015-02-19 11:00:00,2015-02-19,11,19,83,120,83,47,16.8,3,1.4,71,23.5,360,3.9
2015-02-19 06:00:00,2015-02-19,6,6,77,120,83,64,13.2,188,0.9,71,23.5,360,3.9
2015-02-19 07:00:00,2015-02-19,7,2,77,120,83,66,12.6,9,0.8,71,23.5,360,3.9
2015-02-19 08:00:00,2015-02-19,8,3,77,120,83,71,11.8,313,1.2,71,23.5,360,3.9
2015-02-19 09:00:00,2015-02-19,9,5,77,120,83,65,12.6,339,1.3,71,23.5,360,3.9
2015-02-20 10:00:00,2015-02-20,10,11,93,117,94,55,15.9,49,1.5,64,23.1,324,2.4
2015-02-20 11:00:00,2015-02-20,11,25,90,117,94,47,18,55,1.8,64,23.1,324,2.4
2015-02-20 06:00:00,2015-02-20,6,2,87,117,94,63,13.2,277,0.5,64,23.1,324,2.4
2015-02-20 07:00:00,2015-02-20,7,2,88,117,94,63,13.1,315,0.5,64,23.1,324,2.4
2015-02-20 08:00:00,2015-02-20,8,2,91,117,94,64,13,43,0.6,64,23.1,324,2.4
2015-02-20 09:00:00,2015-02-20,9,4,93,117,94,61,14.3,116,1.2,64,23.1,324,2.4
2015-02-23 10:00:00,2015-02-23,10,10,55,59,77,28,17.5,345,1.3,49,27.4,345,4.3
2015-02-23 11:00:00,2015-02-23,11,19,54,59,77,23,19.5,345,2,49,27.4,345,4.3
2015-02-23 06:00:00,2015-02-23,6,2,60,59,77,39,14.1,190,1.1,49,27.4,345,4.3
2015-02-23 07:00:00,2015-02-23,7,3,57,59,77,45,13.2,195,0.8,49,27.4,345,4.3
2015-02-23 08:00:00,2015-02-23,8,3,55,59,77,42,13.9,157,0.4,49,27.4,345,4.3
2015-02-23 09:00:00,2015-02-23,9,4,55,59,77,33,15.9,74,0.7,49,27.4,345,4.3
2015-02-24 10:00:00,2015-02-24,10,10,91,113,102,45,16,70,1.1,70,25.4,359,2.5
2015-02-24 11:00:00,2015-02-24,11,21,96,113,102,42,18.2,63,1.5,70,25.4,359,2.5
2015-02-24 06:00:00,2015-02-24,6,2,83,113,102,68,12.5,45,0.7,70,25.4,359,2.5
2015-02-24 07:00:00,2015-02-24,7,2,86,113,102,70,12.1,44,0.5,70,25.4,359,2.5
2015-02-24 08:00:00,2015-02-24,8,3,88,113,102,60,12.5,169,0.7,70,25.4,359,2.5
2015-02-24 09:00:00,2015-02-24,9,5,88,113,102,51,14.2,106,1,70,25.4,359,2.5
2015-02-25 10:00:00,2015-02-25,10,13,103,49,103,48,18.4,47,1.7,58,24.8,326,4.1
2015-02-25 11:00:00,2015-02-25,11,26,102,49,103,42,20.3,225,2.3,58,24.8,326,4.1
2015-02-25 06:00:00,2015-02-25,6,4,103,49,103,55,14.3,137,1.6,58,24.8,326,4.1
2015-02-25 07:00:00,2015-02-25,7,3,103,49,103,57,13.9,326,0.9,58,24.8,326,4.1
2015-02-25 08:00:00,2015-02-25,8,3,103,49,103,58,14.2,45,0.8,58,24.8,326,4.1
2015-02-25 09:00:00,2015-02-25,9,6,103,49,103,54,15.7,58,0.9,58,24.8,326,4.1
2015-02-26 10:00:00,2015-02-26,10,17,81,61,90,44,17.6,90,2,60,24.5,290,3.3
2015-02-26 11:00:00,2015-02-26,11,34,83,61,90,37,19.2,74,1.8,60,24.5,290,3.3
2015-02-26 06:00:00,2015-02-26,6,8,78,61,90,60,14,200,0.9,60,24.5,290,3.3
2015-02-26 07:00:00,2015-02-26,7,4,84,61,90,56,14,205,1.3,60,24.5,290,3.3
2015-02-26 08:00:00,2015-02-26,8,3,84,61,90,52,14.3,143,1.1,60,24.5,290,3.3
2015-02-26 09:00:00,2015-02-26,9,9,83,61,90,46,16.1,129,1.7,60,24.5,290,3.3
2015-02-27 10:00:00,2015-02-27,10,13,76,39,78,44,15.4,52,1.4,55,23.7,317,3.7
2015-02-27 11:00:00,2015-02-27,11,22,77,39,78,35,17.7,58,2,55,23.7,317,3.7
2015-02-27 06:00:00,2015-02-27,6,3,77,39,78,47,13.3,197,0.7,55,23.7,317,3.7
2015-02-27 07:00:00,2015-02-27,7,2,70,39,78,47,12.8,298,1.6,55,23.7,317,3.7
2015-02-27 08:00:00,2015-02-27,8,3,71,39,78,55,11.5,303,2.7,55,23.7,317,3.7
2015-02-27 09:00:00,2015-02-27,9,5,73,39,78,54,12.7,317,1.7,55,23.7,317,3.7
2015-03-02 10:00:00,2015-03-02,10,14,83,121,91,43,17.1,100,1.4,58,26,319,3.4
2015-03-02 11:00:00,2015-03-02,11,26,83,121,91,36,19.4,109,1.6,58,26,319,3.4
2015-03-02 06:00:00,2015-03-02,6,4,68,121,91,55,14,87,0.4,58,26,319,3.4
2015-03-02 07:00:00,2015-03-02,7,2,70,121,91,58,13.2,176,0.7,58,26,319,3.4
2015-03-02 08:00:00,2015-03-02,8,3,74,121,91,56,13.6,142,0.8,58,26,319,3.4
2015-03-02 09:00:00,2015-03-02,9,7,80,121,91,51,15.1,72,1.3,58,26,319,3.4
2015-03-03 10:00:00,2015-03-03,10,12,91,147,101,54,16.1,89,1.9,66,25.2,316,3.1
2015-03-03 11:00:00,2015-03-03,11,26,93,147,101,45,18.1,72,1.8,66,25.2,316,3.1
